bad_prompts,improved_prompts,Mistral_prompts,gpt-4o-mini_prompts
What's wrong with trash in cities and how can we fix it?,Discuss the challenges and potential solutions for waste management in urban areas.,"Revised Prompt: What are the negative impacts of urban waste, and how can we effectively address this issue?","What are the main challenges of urban waste management, and what effective solutions can cities implement?"
Write a story about a hero saving a cursed kingdom.,Write a fantasy story about a cursed kingdom saved by an unlikely hero.,Craft a narrative where a valiant hero embarks on a quest to liberate a kingdom afflicted by an ancient curse.,"Prompt: ""Tell a captivating story of a hero who embarks on an epic quest to break a curse plaguing a kingdom. Include challenges they face and the allies they meet along the way."""
"What's ""Frankenstein"" say about being alone?","Analyze the theme of isolation in Mary Shelley's ""Frankenstein.""","How does the narrative of ""Frankenstein"" explore the theme of isolation and loneliness?","How does ""Frankenstein"" explore the theme of isolation?"
Write about an e-learning platform you like.,"Write a comprehensive review of a popular online learning platform, detailing its features, strengths, and areas of improvement.",Describe the features and benefits of a preferred online learning platform.,"""Describe your favorite e-learning platform, highlighting its key features and what makes it effective."""
Why did the French Revolution happen?,"Discuss the social, economic, and political factors that led to the French Revolution.",What were the key factors and events that led to the French Revolution?,What were the main causes of the French Revolution?
Write a mystery story in a small town.,Write a compelling mystery story set in a quiet New England town.,"Craft a suspenseful tale set in a quaint village, filled with secrets and intrigue.","Create a captivating mystery story set in a small town, featuring a hidden secret that ties the community together. Include a unique detective character and a surprising twist."
What's the water cycle?,Explain the water cycle to a third-grade student.,"""Could you explain the process and stages of the water cycle?""

This revised prompt is more specific and direct, asking for an explanation of the process and stages of the water cycle. It avoids providing examples or increasing the length of the prompt too much.","""Explain the water cycle in simple terms with key stages and their importance."""
"Write about fate in ""Tess of the d'Urbervilles"".","Write a thought-provoking analysis of the role of fate in Thomas Hardy's ""Tess of the d'Urbervilles.""","Examine the theme of fate and its influence on the protagonist in ""Tess of the d'Urbervilles"".","Analyze the role of fate in ""Tess of the d'Urbervilles,"" focusing on how it influences Tess's life choices and relationships."
How did the printing press affect the Reformation?,Discuss the role and impact of the printing press on the Reformation.,How did Johannes Gutenberg's invention of the printing press significantly impact the Protestant Reformation during the 16th century?,How did the printing press influence the spread of Reformation ideas?
Write a story about finding something weird on Mars.,Write a suspenseful short story about an expedition to Mars that uncovers an alien artifact.,"Compose a narrative set on Mars, featuring the discovery of an extraordinary and perplexing anomaly.",Create a captivating short story about an astronaut discovering an unusual object on Mars and its unexpected consequences.
"What's funny in ""Huckleberry Finn"" and why?","Analyze the use of humor as a social critique in Mark Twain's ""The Adventures of Huckleberry Finn.""","Examine the humor in ""Huckleberry Finn"" and discuss its underlying causes. Analyze the comedic elements and their contribution to the narrative.","What are some humorous moments in ""Huckleberry Finn"" and what makes them funny?"
Write about someone beating the odds to do something big.,Write an inspiring account of an individual overcoming adversity to achieve a significant goal.,Craft a narrative about an individual who defies unlikely circumstances to achieve a remarkable feat.,"""Tell a compelling story of an underdog achieving a remarkable milestone against all odds."""
What's the history of hip-hop and why is it important?,Discuss the origins and influence of hip-hop music on contemporary culture.,Discover the origins and significance of hip-hop culture in a concise manner. How did hip-hop evolve and what is its cultural impact?,"""Summarize the history of hip-hop and its cultural significance."""
Write a story after an apocalypse with no tech.,Write a post-apocalyptic short story set in a world where technology no longer works.,Narrate a tale set in a post-apocalyptic world devoid of technology.,"""Write a captivating story set in a post-apocalyptic world where technology no longer exists, focusing on human survival, community rebuilding, and the struggle to find hope."""
What's democracy?,Explain the basic principles of democracy to a ten-year-old.,"**Improved Prompt**: Could you provide a concise and clear explanation of the concept of democracy, without using any specific examples? Please focus on the fundamental principles and key features that define a democratic system.","""Explain the key principles of democracy and its importance in society."""
Argue for saving old buildings.,Write a persuasive piece advocating for the preservation of historical buildings.,Justify the preservation of historic structures.,"""Discuss the benefits of preserving historic buildings for community heritage, tourism, and environmental sustainability."""
How did the Industrial Revolution change things?,Discuss the impact of the Industrial Revolution on society and the economy.,"Prompt: In what significant ways did the Industrial Revolution bring about transformation? Elaborate on the societal, economic, and technological shifts during this period.","What were the key impacts of the Industrial Revolution on society, economy, and technology?"
Write a love story in old France.,Write a romantic short story set in 18th-century France.,Compose a romantic tale set in historic France.,"""Craft a romantic story set in 18th century France, focusing on the challenges and passions of the main characters."""
"What does ""Death of a Salesman"" say about the American Dream?","Analyze the depiction of the American Dream in Arthur Miller's ""Death of a Salesman.""","Rewritten Prompt: How is the concept of the American Dream explored and critiqued in ""Death of a Salesman""?","How does ""Death of a Salesman"" critique the American Dream?"
Write about seeing something cool while scuba diving.,Write a thrilling account of a close encounter with a marine creature while scuba diving.,Narrate an enthralling encounter with a remarkable underwater discovery during a scuba diving adventure.,"Describe an unforgettable underwater experience you had while scuba diving. What did you see, feel, and how did it impact you?"
What's right and wrong about drones in war?,Discuss the ethical considerations of using drones in warfare.,What are the advantages and disadvantages of employing drones in military conflict?,"""Analyze the ethical implications and effectiveness of using drones in modern warfare."""
Write a scary story in an old castle.,Write a haunting ghost story set in a centuries-old castle.,Compose a chilling tale set within the ancient walls of a haunted castle.,"""Create a chilling ghost story set in a secluded ancient castle, featuring a mysterious artifact and a brave intruder."""
"What's ""Heart of Darkness"" say about light and dark?","Analyze the motifs of light and darkness in Joseph Conrad's ""Heart of Darkness.""","How does ""Heart of Darkness"" explore the themes of light and dark? Elaborate on the symbolic significance of these contrasting elements in the novel.","What themes of light and dark are explored in ""Heart of Darkness""?"
Write about eating something good in another country.,Write a detailed account of a memorable culinary experience in a foreign country.,Narrate your experience of savoring a delightful dish while traveling abroad.,"Describe a memorable dish you enjoyed while traveling, including its ingredients, cultural significance, and the experience of eating it."
What does social media do to how we talk and relate?,Discuss the impact of social media on interpersonal communication and relationships.,How does social media influence our communication and interpersonal relationships?,How does social media influence our communication and relationships?
Write a story about magic creatures in a forest.,Write an immersive fantasy story about a magical forest and its secretive inhabitants.,Craft a captivating tale featuring enchanting creatures inhabiting a mystical woodland.,"Create a captivating story featuring unique magical creatures living in an enchanted forest, highlighting their adventures and interactions with one another."
What's photosynthesis?,Explain the concept of photosynthesis to a fourth-grade student.,Rewritten Prompt: Can you explain the process and significance of photosynthesis?,"""Can you explain the process of photosynthesis and its importance in ecosystems?"""
"Write about society in ""Brave New World"".","Write a critical essay on the portrayal of the society in Aldous Huxley's ""Brave New World.""","Discuss the societal structure and norms in ""Brave New World"". Explain the impact of technology and conditioning on this society.","Analyze the societal structure and control mechanisms in ""Brave New World,"" focusing on how they impact individuality and freedom."
Why is the Suez Canal important?,Discuss the geopolitical significance and implications of the Suez Canal.,"""Could you explain the significance and global impact of the Suez Canal?""",Explain the significance of the Suez Canal in global trade.
Write a story about someone stealing from rich houses in London.,Write a crime thriller about a cat burglar targeting wealthy mansions in London.,"Craft a narrative set in London, centered around an individual who surreptitiously pilfers from the city's wealthy estates.","""Craft a thrilling short story about a clever cat burglar in London who targets wealthy homes, facing unexpected challenges and moral dilemmas."""
"What does ""Wuthering Heights"" say about love and desire?","Analyze the exploration of love and desire in Emily Brontë's ""Wuthering Heights.""","How is the theme of love and desire explored in ""Wuthering Heights""?","How does ""Wuthering Heights"" portray love and desire?"
Write a story about an old person and a young person being friends.,Write a moving story about an elderly person's bond with a young neighbor.,"Compose a narrative featuring an enduring friendship between a wise elder and a youthful individual, highlighting their unique bond and shared experiences.","""Create a heartwarming story that explores the unique friendship between an elderly person and a young person, highlighting their shared experiences and lessons learned."""
What did the Italian Renaissance do for art and culture?,Discuss the cultural and artistic influences of the Italian Renaissance.,Revised Prompt: Discuss the significant contributions and impacts of the Italian Renaissance on the evolution of art and culture.,How did the Italian Renaissance influence art and culture?
Write a story about messing up time travel.,Write a science fiction story about a time-travel mishap.,Revise the prompt: Compose a narrative about a character's time travel mishap and its subsequent consequences.,"**Prompt:** ""Craft a short story where a time traveler accidentally alters a key historical event, leading to unexpected and humorous consequences."""
What's a balanced diet?,Explain the concept of a balanced diet to a second-grade student.,Essential Components of a Balanced Diet: Explain the necessary nutrients and their sources for maintaining overall health and well-being.,"""What are the key components of a balanced diet?"""
Argue for more space stuff.,Write a passionate argument for increasing space exploration and research.,Advocate for the expansion of space exploration and research.,"""Make a case for investing in space exploration, highlighting its benefits for society, technology, and the economy."""
What did the Beat Generation do for literature?,Discuss the significance and cultural impact of the Beat Generation in literature.,How did the Beat Generation significantly impact literature?,"""How did the Beat Generation influence contemporary literature?"""
Write a mystery story in a big fancy house in Venice.,Write a mystery short story set in a luxurious Venetian palazzo.,"Craft a suspenseful tale set within an opulent Venetian mansion, filled with secrets and intrigue.","""Craft a suspenseful mystery set in a grand Venetian villa, featuring a secret hidden within its walls."""
"What does ""The Great Gatsby"" say about America?","Analyze the representation of the American society in F. Scott Fitzgerald's ""The Great Gatsby.""","How does ""The Great Gatsby"" portray American society and its values?","How does ""The Great Gatsby"" reflect American society and values in the 1920s?"
Write about going to a music festival.,Write a detailed account of your experience at a popular music festival.,"Detail a personal experience at a music festival, including the atmosphere, performances, and overall impression.","""Describe your experience at a music festival, focusing on the atmosphere, memorable performances, and your favorite moments."""
What's good and bad about wind power?,Discuss the benefits and challenges of wind energy as a renewable resource.,Evaluate the advantages and disadvantages of wind power.,"""Discuss the pros and cons of wind energy."""
Write a story about a vampire in an office.,Write a vampire story set in the modern corporate world.,Craft a captivating tale about a vampire navigating corporate life in a modern office setting.,"""Create a humorous story about a vampire navigating office life, complete with quirky challenges and interactions with coworkers."""
"What's ""A Modest Proposal"" say with irony?","Analyze the use of irony in Jonathan Swift's satirical essay ""A Modest Proposal.""","Rewritten prompt: ""In what ironic manner does 'A Modest Proposal' deliver its message?""","Explain the use of irony in ""A Modest Proposal."""
Write about a hiking trip in the Rockies.,Write a vivid account of a hiking adventure in the Rocky Mountains.,"Embark on a narrative about an exhilarating hiking expedition through the majestic landscapes of the Rocky Mountains. Explore the challenges, triumphs, and breathtaking scenery encountered along the journey.","Describe your most memorable hiking experience in the Rockies, focusing on the scenery, challenges faced, and any interactions with wildlife or fellow hikers."
What will AI do to jobs?,Discuss the potential impacts of artificial intelligence on the future job market.,How will AI impact the job market?,"""How will AI impact the future job market and workforce?"""
Write a creepy story in a lighthouse.,Write an atmospheric gothic story set in a desolate lighthouse.,"Compose a chilling tale set within an isolated lighthouse, evoking a sense of unease and mystery.","""Craft a chilling ghost story set in a deserted lighthouse during a stormy night."""
What's a butterfly's lifecycle?,Explain the lifecycle of a butterfly to a kindergartener.,Detail the stages of metamorphosis that a butterfly undergoes throughout its life cycle.,Explain the stages of a butterfly's lifecycle.
Write about a dystopian book you read recently.,"Write an insightful critique of a recent dystopian novel detailing its themes, characters, and narrative.","Discuss a dystopian novel you've recently read, focusing on its thematic elements and impact.","""Summarize the key themes and message of a recent dystopian book you've read."""
What happens when we run out of oil?,Discuss the geopolitical implications of the decline in global oil reserves.,Consequences of Global Oil Depletion: Describe the potential impacts on society and the environment if oil reserves were to be exhausted.,What are the potential consequences and alternatives if global oil reserves are depleted?
Write a story about finding an old tribe in the Amazon.,Write a suspenseful short story about a lone explorer's encounter with an ancient civilization in the Amazon.,"Craft a narrative set in the heart of the Amazon, where an unexpected encounter with an ancient indigenous tribe unfolds.","Explore a mysterious encounter with an ancient tribe in the Amazon, focusing on their customs, challenges, and the impact of outside influence."
"What does ""The Fountainhead"" say about being an individual?","Analyze the concept of identity and individualism in Ayn Rand's ""The Fountainhead.""","Rewritten Prompt: How does ""The Fountainhead"" explore and portray individualism and the concept of being an individual?","What key themes in ""The Fountainhead"" highlight the importance of individuality?"
Write a story about a teenager dealing with bullies.,Write a heartfelt story about a teenager's struggle and triumph over bullying.,Craft a narrative featuring a teen protagonist navigating the challenges of peer intimidation and harassment.,"Craft a compelling story about a teenager confronting bullies, focusing on their emotions and personal growth. Include elements of resilience and friendship."
What's the history of reggae music and why is it important?,Discuss the origins and development of reggae music and its cultural impact.,"Revised Prompt: ""Provide a concise historical overview of reggae music and discuss its cultural significance.""","""Explain the origins of reggae music and its cultural significance."""
Write a story about meeting aliens for the first time.,Write a thrilling science fiction story about first contact with an alien civilization.,"""Compose a narrative detailing an initial encounter with extraterrestrial beings.""","""Describe a thrilling encounter between a young astronaut and a friendly alien on a distant planet."""
What started and ended World War I?,Explain the causes and consequences of the First World War to a high school student.,"Initiate your response by identifying the primary events that commenced and concluded World War I. Please do not provide any examples in your answer, and ensure the revised prompt remains concise and clear.

Improved prompt: What were the key incidents that triggered and concluded World War I?","""What were the key events that initiated and concluded World War I?"""
Argue for animals in science.,Write a persuasive essay arguing for the rights of animals in scientific research.,Defend the use of animals in scientific research.,Discuss the ethical implications and benefits of using animals in scientific research.
What does existentialism do for literature?,Discuss the philosophical concepts and impact of existentialism in literature.,How does existentialism contribute to literary works?,How does existentialism influence themes and characters in literature?
Write a detective story in old Chicago.,Write a detective short story set in a bustling 1920s Chicago.,Craft a captivating detective tale set in the historic era of old Chicago.,"Create a thrilling detective story set in 1920s Chicago, featuring a hard-nosed private investigator uncovering a web of crime and corruption. Include intriguing characters and a captivating plot twist."
"What does ""The Yellow Wallpaper"" say about going mad?","Analyze the exploration of madness in Charlotte Perkins Gilman's ""The Yellow Wallpaper.""","Rewritten Prompt: How does ""The Yellow Wallpaper"" explore the theme of mental illness and descent into madness?","How does ""The Yellow Wallpaper"" explore themes of madness and confinement?"
Write about seeing a solar eclipse.,Write a vivid account of your experience watching a solar eclipse.,"""Describe your experience of witnessing a solar eclipse, detailing the sequence of events, your emotions, and the impact of the celestial phenomenon on your perspective.""","""Describe your feelings and thoughts during a solar eclipse."""
What's wrong with cutting down trees and how can we fix it?,Discuss the environmental implications and potential solutions of deforestation.,What are the negative impacts of deforestation and how can we mitigate them?,What are the environmental impacts of deforestation and potential solutions to mitigate them?
Write a scary story in an old hospital.,Write a chilling ghost story set in an abandoned hospital.,Craft a chilling tale set within the eerie halls of a long-abandoned medical facility.,"**Prompt:** ""Craft a chilling short story set in a haunted old hospital, focusing on a ghostly encounter that reveals a dark secret."""
"What's ""Crime and Punishment"" say about right and wrong?","Analyze the portrayal of morality and conscience in Dostoevsky's ""Crime and Punishment.""","Rewritten prompt: ""How does 'Crime and Punishment' explore and challenge conventional notions of morality and justice?""","What themes about morality and ethics are explored in ""Crime and Punishment""?"
Write about doing yoga in India.,Write a detailed account of a transformative yoga retreat in India.,"""Compose a piece on the experience of practicing yoga in its country of origin, India.""","""Describe your experience practicing yoga in a serene location in India, highlighting the spiritual and physical benefits."""
What will quantum computers do to data security?,Discuss the implications of quantum computing on data security.,How will the advent of quantum computing impact data security?,How will quantum computers impact data security in the future?
Write a story about messing with dreams.,Write an immersive fantasy story set in a world where dreams can be manipulated.,"Compose a narrative involving the manipulation of dreams, focusing on the consequences and ethical implications.","""Create a captivating story where a protagonist discovers the ability to enter and manipulate other people's dreams, exploring the impact on their lives and the challenges that arise."""
What's a fraction?,Explain the concept of fractions to a fourth-grade student.,Rewritten Prompt: Could you provide a concise definition of what a fraction represents in the context of mathematics?,"""Can you explain what a fraction is and provide some examples?"""
"Write about war in ""A Farewell to Arms"".","Write a critical essay on the depiction of war in Ernest Hemingway's ""A Farewell to Arms.""","""Discuss the theme of war as depicted in Ernest Hemingway's 'A Farewell to Arms'."" This revised prompt encourages a more analytical approach to the topic, focusing specifically on the theme of war in the novel.","Analyze how war impacts the characters and themes in ""A Farewell to Arms."""
Why is Martin Luther King Jr. important?,Discuss the impact and legacy of Martin Luther King Jr. on the civil rights movement.,What significant contributions did Martin Luther King Jr. make to society?,What were the key contributions of Martin Luther King Jr. to the civil rights movement?
Write a story about finding a cursed artifact.,Write a suspenseful short story about an archaeological dig that unearths an ancient curse.,"Revise prompt: Craft a narrative involving the discovery of a fabled, ill-fated relic. Ensure your tale explores the consequences and implications of unearthing this cursed artifact.","""Write a captivating story about discovering a cursed artifact and the consequences that follow."""
What does Emily Dickinson's poetry say about hope?,Analyze the theme of hope in Emily Dickinson's poetry.,How does Emily Dickinson's poetry explore and express the theme of hope?,How does Emily Dickinson's poetry explore the theme of hope?
Write a story about a parent doing something for their kid.,Write a moving story about a parent's sacrifice for their child's future.,Craft a narrative where a devoted guardian takes meaningful action for their child's happiness or well-being.,Write a touching story about a parent making a special sacrifice to support their child's dream.
What's the history of jazz music?,Discuss the influence and evolution of jazz music in the 20th century.,Discover the origins and evolution of jazz music throughout its history.,"""Summarize the evolution of jazz music, highlighting key artists and styles."""
Write a story about a world with no emotions.,Write a dystopian story about a society where emotions are controlled by the government.,"Compose a narrative set in an emotionless world. Describe the society, its inhabitants, and the impact of the absence of feelings.","""Imagine a world devoid of emotions. Describe the lives of its inhabitants and how they navigate relationships, art, and conflict."""
What's evolution?,Explain the theory of evolution to a seventh-grade student.,Rewritten Prompt: Could you elucidate the concept of biological evolution?,"Explain the concept of evolution, including its key mechanisms and significance in biology."
Argue for farming better.,Write a convincing argument for the adoption of sustainable farming practices.,Advocate for advancements in farming practices.,"""Explain how improving farming practices can enhance sustainability and food security."""
Why is Shakespeare important?,Discuss the cultural significance and impact of the works of William Shakespeare.,"Prompt to improve: ""What significant contributions did Shakespeare make to literature and society?""",What key contributions did Shakespeare make to literature and culture?
Write a scary story in a cabin in the snow.,Write a horror short story set in a remote snowbound cabin.,"""Compose a chilling tale set in an isolated cabin amidst a snowstorm.""","""Write a chilling horror story set in a remote snow-covered cabin, where the isolation reveals dark secrets and terrors."""
"What does ""Lord of the Flies"" say about people?",Analyze the exploration of human nature in Lord of the Flies by William Golding.,"How does the novel ""Lord of the Flies"" depict human nature and behavior?","What themes about human nature are explored in ""Lord of the Flies""?"
Write about a fancy dinner you had.,Write a review of a memorable dinner at a Michelin-starred restaurant.,"Recount your experience of an elegant dining occasion, highlighting the ambiance, cuisine, and overall impression.","Describe an unforgettable fancy dinner experience, including the ambiance, dishes, and any memorable moments."
What does climate change do to coastal cities?,Discuss the potential impacts and solutions for climate change on coastal cities.,"Revised Prompt: ""Discuss the impacts of climate change on coastal urban settlements.""",How does climate change specifically impact coastal cities?
Write a story about a serial killer in old London.,Write a crime thriller about a serial killer haunting the foggy streets of Victorian London.,"Compose a chilling tale set in Victorian-era London, centered around a notorious serial killer.","Create a chilling story set in Victorian London, featuring a cunning serial killer whose actions challenge the city's dark secrets and social norms."
"What's ""The Road Not Taken"" say with metaphors?","Analyze the use of metaphor in Robert Frost's ""The Road Not Taken.""","Rewritten Prompt: ""How does 'The Road Not Taken' utilize metaphors to convey its message?""","Analyze the metaphors in ""The Road Not Taken"" by Robert Frost and explain their meaning."
Write about a rafting trip.,Write a vivid account of a thrilling whitewater rafting adventure.,"Embark on a thrilling rafting adventure. Describe the breathtaking scenery, the exhilarating rapids, and the camaraderie among the crew. Discuss the preparation, challenges, and triumphs experienced during the voyage. Refrain from providing specific examples in your response.","""Describe an unforgettable rafting adventure, focusing on the challenges faced, the beauty of the surroundings, and the emotions experienced."""
What will genetic engineering do to humans?,Discuss the potential impacts of genetic engineering on human evolution.,How might genetic engineering impact the human species?,What are the potential impacts of genetic engineering on human health and society?
Write a story about music in space.,Write an engaging science fiction story set in a galaxy where music is the source of power.,"Craft a narrative set in the cosmos, where music plays a pivotal role.","Create a captivating story where astronauts discover a mysterious musical melody echoing through space, influencing their journey and emotions."
What's photosynthesis?,Explain the process of photosynthesis to a fifth-grade student.,Rewritten Prompt: Can you explain the process of photosynthesis in plants?,"""Explain the process of photosynthesis and its importance for life on Earth."""
Write about a historical movie that got things wrong.,"Write a nuanced critique of a controversial historical film, analyzing its representation of events.","Revise the prompt: ""Compose an analysis of a historical film that contains inaccurate or misrepresented details. Discuss the discrepancies between the movie and actual historical events.""","""Analyze a historical movie that misrepresents key facts and discuss the inaccuracies."""
Why is the Battle of Gettysburg important?,Discuss the strategic significance of the Battle of Gettysburg in the American Civil War.,"Why does the Battle of Gettysburg hold such historical significance? This prompt invites an exploration of the strategic, political, and social impacts of this pivotal event in the American Civil War.",What were the key factors that made the Battle of Gettysburg a turning point in the Civil War?
Write a story about stealing from a museum.,Write a suspenseful short story about a heist in a high-security museum.,"Craft a narrative involving a daring heist at a prestigious art gallery or museum. The story should detail the planning, execution, and aftermath of the theft.","Write a thrilling heist story set in a museum, focusing on the planning, execution, and consequences of the theft, while exploring the characters' motivations and relationships."
"What does ""Pride and Prejudice"" say about men and women?","Analyze the exploration of gender roles in Jane Austen's ""Pride and Prejudice.""","How does ""Pride and Prejudice"" explore and portray the dynamics between men and women?","How does ""Pride and Prejudice"" portray gender roles and relationships?"
Write a story about friends who stay friends for a long time.,Write a poignant story about a childhood friendship that stood the test of time.,"Narrate a tale of enduring companionship, focusing on individuals who maintain their friendship over an extended period.","""Tell a heartwarming story about lifelong friendship and the adventures that strengthen their bond."""
What's the history of pop art?,Discuss the development and influence of pop art in the 20th century.,Discover the origins and evolution of pop art throughout history.,"""Can you summarize the key developments and major figures in the history of pop art?"""
Write a story about a world where smart people are on top.,Write a dystopian story about a society where people are ranked by their intelligence.,Compose a narrative set in a society where intellectual prowess determines the social hierarchy.,"**Prompt:** Create a story set in a future society where intelligence determines social status and power dynamics. Explore the challenges and conflicts that arise as a group of individuals seeks to redefine what it means to be ""smart."""
What's democracy?,Explain the principles of democracy to an elementary school student.,"""Could you please provide a comprehensive explanation of democracy, including its core principles and significance?""","""Explain the key principles of democracy and its importance in society."""
Argue for teaching about mental health in schools.,Write a convincing argument for the need for mental health education in schools.,Justify the integration of mental health education in school curriculum.,"""Discuss the benefits of integrating mental health education into school curricula."""
Why are the Beat Generation writers important?,Discuss the cultural significance and literary contributions of the Beat Generation.,How do the Beat Generation writers contribute significantly to literature and society?,"""What impact did the Beat Generation writers have on literature and culture?"""
Write a mystery story in old Hollywood.,Write a gripping mystery story set in a glamorous 1940s Hollywood.,"Craft a suspenseful narrative set in the golden age of Hollywood, filled with intrigue and enigma. The prompt should encourage a story that captures the allure and glamour of old Hollywood, while also incorporating elements of mystery and surprise.","Create a mysterious old Hollywood thriller involving a hidden secret, a glamorous actress, and a shadowy figure."
"What does ""Of Mice and Men"" say about the American Dream?","Analyze the depiction of the American Dream in John Steinbeck's ""Of Mice and Men.""","How is the concept of the American Dream explored and portrayed in ""Of Mice and Men""?","How does ""Of Mice and Men"" explore the theme of the American Dream?"
Write about a hot air balloon ride in Turkey.,"Write a vivid account of a breathtaking hot air balloon ride over Cappadocia, Turkey.","Compose a vivid narrative about an exhilarating hot air balloon journey over the breathtaking landscapes of Turkey, capturing the sensations, sights, and emotions experienced by the passengers.","""Describe theexperience and emotions of a hot air balloon ride over Cappadocia, Turkey, focusing on the landscapes, sensations, and cultural aspects."""
What's wrong with plastic in oceans and how can we fix it?,Discuss the ecological implications and potential solutions for plastic pollution in oceans.,Detrimental effects of plastic pollution in oceans and potential solutions.,"What are the environmental impacts of plastic pollution in oceans, and what effective solutions can be implemented?"
Write a scary story in an old house.,Write a ghost story set in an ancient haunted mansion.,Compose a chilling tale set within the eerie confines of a centuries-old mansion.,"Craft a chilling short story set in an abandoned Victorian mansion, featuring a restless spirit and a dark family secret."
"What's the green light in ""The Great Gatsby"" all about?","Analyze the symbolism of the green light in F. Scott Fitzgerald's ""The Great Gatsby.""","What symbolic significance does the green light hold in ""The Great Gatsby""?","What does the green light symbolize in ""The Great Gatsby""?"
Write about a cool thing you did in Japan.,Write a detailed account of an unforgettable cultural experience during a trip to Japan.,Narrate an extraordinary experience you had while visiting Japan.,Describe an unforgettable experience you had in Japan and what made it special.
What's right and wrong about cloning?,Discuss the ethical implications of genetic cloning.,What are the ethical considerations and potential benefits of cloning?,"""Discuss the ethical implications, potential benefits, and risks of cloning in science and medicine."""
Write a story about a kingdom in the sky.,Write a spellbinding fantasy story about a kingdom hidden within the clouds.,"Craft a narrative set in a celestial realm, featuring a skybound kingdom.","""Create an imaginative story set in a mystical kingdom floating in the sky, exploring its unique culture, inhabitants, and a central conflict."""
What's gravity?,Explain the concept of gravitational force to a sixth-grade student.,"Modify prompt: Could you provide an explanation of the concept of gravity, without including any specific examples or instances? Keep the response concise and focused on the definition.","""Explain gravity and its significance in everyday life."""
"Write about ""1984"".","Write a critical analysis of the themes and characters in George Orwell's ""1984.""","Discuss the themes and significance of George Orwell's novel ""1984"". Consider elements such as totalitarianism, surveillance, and manipulation of information.","Explore the themes and characters of George Orwell's ""1984,"" focusing on its relevance to modern society."
What did finding the New World do to Europe?,Discuss the impact of the discovery of the New World on the European economy in the 16th century.,How did the discovery of the Americas impact Europe?,How did the discovery of the New World impact European society and economy?
Write a story about finding treasure in the Amazon.,Write a suspenseful short story about a treasure hunt in the dense jungles of the Amazon.,"Craft a captivating narrative set in the heart of the Amazon, where a treasure is unecovered amidst its lush, verdant landscape.","""Create a thrilling adventure story about a group of explorers who uncover a hidden treasure in the Amazon rainforest, facing challenges and unexpected dangers along the way."""
"What does ""The Crucible"" say about fear?","Analyze the exploration of fear and paranoia in Arthur Miller's ""The Crucible.""","""How does 'The Crucible' explore and portray the theme of fear?""

Improved Prompt: ""In what ways does 'The Crucible' delve into and illuminate the concept of fear, and what messages does it convey about its impact and consequences?""","How does fear influence the characters and events in ""The Crucible""?"
Write a story about a rescue dog getting adopted.,Write a heartwarming story about a rescue dog finding its forever home.,Revise the prompt: Compose a narrative about the journey of a rescue dog finding its forever home.,"Prompt: ""Craft a heartwarming story about a rescue dog finding its forever home and the bond it forms with its new owner."""
What's the history of punk rock?,Discuss the rise and impact of punk rock music in the 1970s.,Discuss the origins and evolution of punk rock as a music genre.,"""Can you provide a brief overview of the origins, key figures, and cultural impact of punk rock?"""
Write a story about a world where no one gets old.,Write a dystopian story about a society in which aging has been eliminated.,Compose a narrative set in a timeless realm where aging is non-existent and everyone remains perpetually young.,"Imagine a world where aging has been stopped entirely. Explore the societal, emotional, and ethical implications of immortality. How do relationships, careers, and the concept of time change in this never-aging society?"
What's a constitutional monarchy?,Explain the concept of a constitutional monarchy to a middle school student.,Rewritten Prompt: Can you explain the concept of a constitutional monarchy and how it functions?,Explain the key features and benefits of a constitutional monarchy.
Argue for vaccines.,Write a persuasive piece advocating for the importance of vaccination in public health.,"Present a compelling case in favor of vaccinations, detailing their importance, benefits, and safety.","""Explain the benefits of vaccines in preventing diseases."""
What did women writers do in the 19th century?,Discuss the role and influence of women writers in the 19th century.,How were women writers contributing to literature during the 19th century?,What contributions did 19th-century women writers make to literature?
Write a scary story in a cursed mountain village.,Write a horror short story set in an isolated mountain village plagued by an ancient curse.,"Craft a chilling tale set in an accursed mountaintop community, where ancient legends come alive with terror.","""Create a chilling tale set in a cursed mountain village where an ancient secret awakens."""
"What does ""Macbeth"" say about wanting power?","Analyze the exploration of ambition and power in William Shakespeare's ""Macbeth.""","Revised Prompt: How does Shakespeare explore the theme of power-hunger in ""Macbeth,"" and what are its consequences?","What themes about power are explored in ""Macbeth""?"
Write about going to a big party in Brazil.,Write a vivid account of your experience at the Rio Carnival in Brazil.,"""Describe your experience attending a lively Brazilian festival or celebration.""","Describe an unforgettable experience at a vibrant Brazilian party, focusing on the sights, sounds, and cultural elements."
What's wrong with too many people and how can we fix it?,Discuss the potential impacts and solutions for the overpopulation crisis.,Revised Prompt: What are the issues associated with overpopulation and what potential solutions can be implemented?,"What are the challenges of overpopulation, and what solutions can we implement to address them?"
Write a detective story in the future.,Write a detective story set in a futuristic megacity.,Craft a suspenseful detective narrative set in a future world.,"Create a futuristic detective story that involves a mysterious crime, advanced technology, and an unexpected twist."
"What does ""The Tell-Tale Heart"" say about revenge and guilt?","Analyze the exploration of revenge and guilt in Edgar Allan Poe's ""The Tell-Tale Heart.""","Refined Prompt: How does the narrative ""The Tell-Tale Heart"" explore the themes of revenge and guilt? What insights does it provide into the human psyche concerning these themes?","Revise this: How does ""The Tell-Tale Heart"" explore the themes of revenge and guilt?"
