bad_prompts,improved_prompts,Mistral_prompts
What does Emily Dickinson's poetry say about hope?,Analyze the theme of hope in Emily Dickinson's poetry.,How does Emily Dickinson's poetry explore and express the theme of hope?
Write a story about a parent doing something for their kid.,Write a moving story about a parent's sacrifice for their child's future.,Craft a narrative where a devoted guardian takes meaningful action for their child's happiness or well-being.
What's the history of jazz music?,Discuss the influence and evolution of jazz music in the 20th century.,Discover the origins and evolution of jazz music throughout its history.
Write a story about a world with no emotions.,Write a dystopian story about a society where emotions are controlled by the government.,"Compose a narrative set in an emotionless world. Describe the society, its inhabitants, and the impact of the absence of feelings."
What's evolution?,Explain the theory of evolution to a seventh-grade student.,Rewritten Prompt: Could you elucidate the concept of biological evolution?
Argue for farming better.,Write a convincing argument for the adoption of sustainable farming practices.,Advocate for advancements in farming practices.
Why is Shakespeare important?,Discuss the cultural significance and impact of the works of William Shakespeare.,"Prompt to improve: ""What significant contributions did Shakespeare make to literature and society?"""
Write a scary story in a cabin in the snow.,Write a horror short story set in a remote snowbound cabin.,"""Compose a chilling tale set in an isolated cabin amidst a snowstorm."""
"What does ""Lord of the Flies"" say about people?",Analyze the exploration of human nature in Lord of the Flies by William Golding.,"How does the novel ""Lord of the Flies"" depict human nature and behavior?"
Write about a fancy dinner you had.,Write a review of a memorable dinner at a Michelin-starred restaurant.,"Recount your experience of an elegant dining occasion, highlighting the ambiance, cuisine, and overall impression."
What does climate change do to coastal cities?,Discuss the potential impacts and solutions for climate change on coastal cities.,"Revised Prompt: ""Discuss the impacts of climate change on coastal urban settlements."""
Write a story about a serial killer in old London.,Write a crime thriller about a serial killer haunting the foggy streets of Victorian London.,"Compose a chilling tale set in Victorian-era London, centered around a notorious serial killer."
"What's ""The Road Not Taken"" say with metaphors?","Analyze the use of metaphor in Robert Frost's ""The Road Not Taken.""","Rewritten Prompt: ""How does 'The Road Not Taken' utilize metaphors to convey its message?"""
Write about a rafting trip.,Write a vivid account of a thrilling whitewater rafting adventure.,"Embark on a thrilling rafting adventure. Describe the breathtaking scenery, the exhilarating rapids, and the camaraderie among the crew. Discuss the preparation, challenges, and triumphs experienced during the voyage. Refrain from providing specific examples in your response."
What will genetic engineering do to humans?,Discuss the potential impacts of genetic engineering on human evolution.,How might genetic engineering impact the human species?
Write a story about music in space.,Write an engaging science fiction story set in a galaxy where music is the source of power.,"Craft a narrative set in the cosmos, where music plays a pivotal role."
What's photosynthesis?,Explain the process of photosynthesis to a fifth-grade student.,Rewritten Prompt: Can you explain the process of photosynthesis in plants?
Write about a historical movie that got things wrong.,"Write a nuanced critique of a controversial historical film, analyzing its representation of events.","Revise the prompt: ""Compose an analysis of a historical film that contains inaccurate or misrepresented details. Discuss the discrepancies between the movie and actual historical events."""
Why is the Battle of Gettysburg important?,Discuss the strategic significance of the Battle of Gettysburg in the American Civil War.,"Why does the Battle of Gettysburg hold such historical significance? This prompt invites an exploration of the strategic, political, and social impacts of this pivotal event in the American Civil War."
Write a story about stealing from a museum.,Write a suspenseful short story about a heist in a high-security museum.,"Craft a narrative involving a daring heist at a prestigious art gallery or museum. The story should detail the planning, execution, and aftermath of the theft."
"What does ""Pride and Prejudice"" say about men and women?","Analyze the exploration of gender roles in Jane Austen's ""Pride and Prejudice.""","How does ""Pride and Prejudice"" explore and portray the dynamics between men and women?"
Write a story about friends who stay friends for a long time.,Write a poignant story about a childhood friendship that stood the test of time.,"Narrate a tale of enduring companionship, focusing on individuals who maintain their friendship over an extended period."
What's the history of pop art?,Discuss the development and influence of pop art in the 20th century.,Discover the origins and evolution of pop art throughout history.
Write a story about a world where smart people are on top.,Write a dystopian story about a society where people are ranked by their intelligence.,Compose a narrative set in a society where intellectual prowess determines the social hierarchy.
What's democracy?,Explain the principles of democracy to an elementary school student.,"""Could you please provide a comprehensive explanation of democracy, including its core principles and significance?"""
Argue for teaching about mental health in schools.,Write a convincing argument for the need for mental health education in schools.,Justify the integration of mental health education in school curriculum.
Why are the Beat Generation writers important?,Discuss the cultural significance and literary contributions of the Beat Generation.,How do the Beat Generation writers contribute significantly to literature and society?
Write a mystery story in old Hollywood.,Write a gripping mystery story set in a glamorous 1940s Hollywood.,"Craft a suspenseful narrative set in the golden age of Hollywood, filled with intrigue and enigma. The prompt should encourage a story that captures the allure and glamour of old Hollywood, while also incorporating elements of mystery and surprise."
"What does ""Of Mice and Men"" say about the American Dream?","Analyze the depiction of the American Dream in John Steinbeck's ""Of Mice and Men.""","How is the concept of the American Dream explored and portrayed in ""Of Mice and Men""?"
Write about a hot air balloon ride in Turkey.,"Write a vivid account of a breathtaking hot air balloon ride over Cappadocia, Turkey.","Compose a vivid narrative about an exhilarating hot air balloon journey over the breathtaking landscapes of Turkey, capturing the sensations, sights, and emotions experienced by the passengers."
What's wrong with plastic in oceans and how can we fix it?,Discuss the ecological implications and potential solutions for plastic pollution in oceans.,Detrimental effects of plastic pollution in oceans and potential solutions.
Write a scary story in an old house.,Write a ghost story set in an ancient haunted mansion.,Compose a chilling tale set within the eerie confines of a centuries-old mansion.
"What's the green light in ""The Great Gatsby"" all about?","Analyze the symbolism of the green light in F. Scott Fitzgerald's ""The Great Gatsby.""","What symbolic significance does the green light hold in ""The Great Gatsby""?"
Write about a cool thing you did in Japan.,Write a detailed account of an unforgettable cultural experience during a trip to Japan.,Narrate an extraordinary experience you had while visiting Japan.
What's right and wrong about cloning?,Discuss the ethical implications of genetic cloning.,What are the ethical considerations and potential benefits of cloning?
Write a story about a kingdom in the sky.,Write a spellbinding fantasy story about a kingdom hidden within the clouds.,"Craft a narrative set in a celestial realm, featuring a skybound kingdom."
What's gravity?,Explain the concept of gravitational force to a sixth-grade student.,"Modify prompt: Could you provide an explanation of the concept of gravity, without including any specific examples or instances? Keep the response concise and focused on the definition."
"Write about ""1984"".","Write a critical analysis of the themes and characters in George Orwell's ""1984.""","Discuss the themes and significance of George Orwell's novel ""1984"". Consider elements such as totalitarianism, surveillance, and manipulation of information."
What did finding the New World do to Europe?,Discuss the impact of the discovery of the New World on the European economy in the 16th century.,How did the discovery of the Americas impact Europe?
Write a story about finding treasure in the Amazon.,Write a suspenseful short story about a treasure hunt in the dense jungles of the Amazon.,"Craft a captivating narrative set in the heart of the Amazon, where a treasure is unecovered amidst its lush, verdant landscape."
"What does ""The Crucible"" say about fear?","Analyze the exploration of fear and paranoia in Arthur Miller's ""The Crucible.""","""How does 'The Crucible' explore and portray the theme of fear?""

Improved Prompt: ""In what ways does 'The Crucible' delve into and illuminate the concept of fear, and what messages does it convey about its impact and consequences?"""
Write a story about a rescue dog getting adopted.,Write a heartwarming story about a rescue dog finding its forever home.,Revise the prompt: Compose a narrative about the journey of a rescue dog finding its forever home.
What's the history of punk rock?,Discuss the rise and impact of punk rock music in the 1970s.,Discuss the origins and evolution of punk rock as a music genre.
Write a story about a world where no one gets old.,Write a dystopian story about a society in which aging has been eliminated.,Compose a narrative set in a timeless realm where aging is non-existent and everyone remains perpetually young.
What's a constitutional monarchy?,Explain the concept of a constitutional monarchy to a middle school student.,Rewritten Prompt: Can you explain the concept of a constitutional monarchy and how it functions?
Argue for vaccines.,Write a persuasive piece advocating for the importance of vaccination in public health.,"Present a compelling case in favor of vaccinations, detailing their importance, benefits, and safety."
What did women writers do in the 19th century?,Discuss the role and influence of women writers in the 19th century.,How were women writers contributing to literature during the 19th century?
Write a scary story in a cursed mountain village.,Write a horror short story set in an isolated mountain village plagued by an ancient curse.,"Craft a chilling tale set in an accursed mountaintop community, where ancient legends come alive with terror."
"What does ""Macbeth"" say about wanting power?","Analyze the exploration of ambition and power in William Shakespeare's ""Macbeth.""","Revised Prompt: How does Shakespeare explore the theme of power-hunger in ""Macbeth,"" and what are its consequences?"
Write about going to a big party in Brazil.,Write a vivid account of your experience at the Rio Carnival in Brazil.,"""Describe your experience attending a lively Brazilian festival or celebration."""
What's wrong with too many people and how can we fix it?,Discuss the potential impacts and solutions for the overpopulation crisis.,Revised Prompt: What are the issues associated with overpopulation and what potential solutions can be implemented?
Write a detective story in the future.,Write a detective story set in a futuristic megacity.,Craft a suspenseful detective narrative set in a future world.
"What does ""The Tell-Tale Heart"" say about revenge and guilt?","Analyze the exploration of revenge and guilt in Edgar Allan Poe's ""The Tell-Tale Heart.""","Refined Prompt: How does the narrative ""The Tell-Tale Heart"" explore the themes of revenge and guilt? What insights does it provide into the human psyche concerning these themes?"
Write about meeting a cool artist in Morocco.,Write a detailed account of an inspiring encounter with a local artisan during a trip to Morocco.,Revise the prompt: Describe an encounter with an intriguing artist during your travels in Morocco.
What will AI do to healthcare?,Discuss the implications of artificial intelligence on the healthcare industry.,How will artificial intelligence transform the healthcare sector?
Write a story about living shadows.,Write a captivating fantasy story about a world where shadows have a life of their own.,"Compose a captivating tale featuring sentient, living shadows as central characters or elements."
What's the water cycle?,Explain the water cycle to a third-grade student.,Rewritten Prompt: Could you explain the process and stages of the water cycle in a concise manner?
"Write about society in ""Frankenstein"".","Write a critical essay on the portrayal of society in Mary Shelley's ""Frankenstein.""","Revise the prompt to: ""Discuss the portrayal of society in Mary Shelley's 'Frankenstein', focusing on its values, norms, and attitudes towards science and the 'other'."""
Why is the Silk Road important?,Discuss the significance and impact of the Silk Road in ancient trade and cultural exchange.,What significant impacts did the Silk Road have on global history and culture?
Write a story about escaping from prison.,Write a suspenseful short story about a daring escape from a high-security prison.,Craft a narrative detailing a successful prison break.
"What does ""Harry Potter"" say about friends and sacrifice?","Analyze the exploration of friendship and sacrifice in J.K. Rowling's ""Harry Potter"" series.","How does the character of ""Harry Potter"" embody the themes of friendship and sacrifice?"
Write a story about a soldier coming home.,Write a moving story about a soldier's return home after years of war.,Craft a narrative centered around a veteran's emotional homecoming.
What did the Harlem Renaissance do for art and culture?,Discuss the cultural and artistic significance of the Harlem Renaissance.,"Rewritten prompt: ""In what ways did the Harlem Renaissance influence and contribute to the development of art and culture?"""
Write a story about a world covered in plants.,Write a post-apocalyptic story about survivors in a world overrun by plants.,"Compose a narrative set in a planet entirely enshrouded by diverse flora, depicting the unique aspects of such a world."
What's supply and demand?,Explain the principles of supply and demand to a high school student.,"Revised Prompt: ""Could you please explain the concepts of supply and demand, emphasizing what each term means and how they interact in a market?"""
Argue for free money for everyone.,Write a compelling argument for the implementation of universal basic income.,Justify the concept of Universal Basic Income for all individuals.
Why is Oscar Wilde important?,Discuss the literary contributions and influence of Oscar Wilde in the Victorian era.,Why is Oscar Wilde regarded as a significant figure? Elaborate on his contributions to literature and society.
Write a murder story on a cruise ship.,Write a murder mystery set aboard a luxury cruise liner.,"Craft a suspenseful short story set on a luxury cruise liner, where a mysterious murder takes place, leaving passengers and crew members baffled and fearful."
"What does ""Slaughterhouse-Five"" say about war?","Analyze the depiction of war in Kurt Vonnegut's ""Slaughterhouse-Five.""","Refined prompt: Discuss the thematic representation of war in ""Slaughterhouse-Five"". How does the author convey his perspective on the subject?"
Write about going to a film festival.,Write a detailed account of your experience at a famous film festival.,"Revise the prompt: ""Compose a narrative about attending a film festival, detailing your experiences and observations."""
What's wrong with air pollution in cities?,Discuss the environmental and health impacts of air pollution in major cities.,"Revised Prompt: ""Evaluate the detrimental impacts of urban air pollution."""
Write a scary story in a big old house.,Write a horror story set in a haunted Victorian mansion.,"Craft a chilling tale set within an ancient, sprawling mansion."
"What does ""Wuthering Heights"" say about love and loss?",Analyze the portrayal of love and loss in Wuthering Heights by Emily Bronte.,"Revised Prompt: How does the narrative of ""Wuthering Heights"" explore the themes of love and loss? Convey the essence without providing specific examples from the text."
Write about visiting a monastery in Bhutan.,Write a vivid account of a spiritual journey to a secluded Buddhist monastery in Bhutan.,"Discover the spiritual journey of exploring a monastery nestled in the heart of Bhutan. Describe the architectural marvels, cultural significance, and serene atmosphere of this sacred place. Highlight the experiences and emotions one might encounter during the visit."
What will nanotech do to healthcare?,Discuss the potential impacts of nanotechnology on healthcare.,How will nanotechnology revolutionize healthcare and medicine?
Write a story about looking for a creature in the Himalayas.,Write a riveting adventure story about a hunt for a mythical creature in the Himalayas.,"Embark on a narrative adventure, detailing a quest to discover an elusive creature said to reside within the Himalayas' snow-capped peaks and hidden valleys."
What's climate change?,Explain the concept of climate change to an elementary school student.,Rewritten Prompt: Could you explain the concept and implications of climate change?
"Write about symbols in ""The Scarlet Letter"".","Write a comprehensive critique of the use of symbols in Nathaniel Hawthorne's ""The Scarlet Letter"".","Discuss the significance and usage of symbols in Nathaniel Hawthorne's ""The Scarlet Letter""."
Why is the printing press important?,Discuss the role and impact of the Gutenberg printing press in the Renaissance.,How has the invention of the printing press significantly impacted society and human history?
Write a story about a mystery in a library.,Write a suspenseful short story about an unsolved mystery in an old library.,Craft a tale centered around an enigmatic puzzle unfolding within a library's walls.
"What does ""The Stranger"" say about feeling alone?","Analyze the theme of isolation and despair in Albert Camus' ""The Stranger.""","How does Albert Camus explore the theme of isolation and feeling alone in ""The Stranger""?"
Write a story about someone moving to a new country.,Write a poignant story about the life of an immigrant navigating a new culture.,"Revise the prompt: Craft a narrative about an individual embarking on a journey to a foreign land, detailing their experiences and emotions as they adapt to their new surroundings."
What's the history of blues music?,Discuss the evolution and influence of the blues in American music history.,Discover the origins and evolution of blues music throughout history.
Write a story about a world where color means class.,Write a dystopian story about a society in which color is perceived as a social class.,"In this narrative, explore a society where social hierarchy is determined by hues. Each person is assigned a color at birth, signifying their societal rank. Elaborate on the challenges and conflicts that arise in this chromatic caste system."
What's the immune system?,Explain the workings of the human immune system to a middle school student.,"Revised Prompt: Can you explain the function and components of the human immune system in a concise manner, without using specific examples?"
Argue for using green energy.,Write a persuasive essay arguing for the need for renewable energy solutions.,Justify the adoption of renewable energy sources.
What's Modernism in literature?,Discuss the cultural significance and literary style of the Modernist movement.,Rewritten Prompt: Could you explain the concept of Modernism as it applies to literature? Please provide an in-depth definition without using specific examples.
Write a thriller in an old mental hospital.,Write a psychological thriller set in a psychiatric institution during the 1950s.,"Craft a suspenseful thriller set within the eerie confines of a historic, abandoned mental hospital."
"What does ""To the Lighthouse"" say about being human?","Analyze the exploration of the human condition in Virginia Woolf's ""To the Lighthouse.""","Rewritten Prompt: How does ""To the Lighthouse"" explore and reflect upon the human condition?"
Write about going to the opera.,Write a review of a spectacular night at the opera.,"Reflect on an evening at the opera, discussing your impressions and experiences."
What's wrong with water around the world and how can we fix it?,Discuss the potential impacts and solutions for the global water crisis.,Revised Prompt: Explain global water issues and suggest potential solutions to address these problems.
Write a scary story in a Scottish castle.,Write a ghost story set in an eerie Scottish castle.,Craft a chilling tale set within an ancient Scottish fortress.
"What does Joyce's ""A Portrait of the Artist as a Young Man"" say about identity?","Analyze the exploration of identity and self-realization in James Joyce's ""A Portrait of the Artist as a Young Man.""","How does Joyce explore and portray the theme of identity in ""A Portrait of the Artist as a Young Man""?"
Write about a safari in Africa.,Write a vivid account of a memorable wildlife safari experience in Africa.,Embark on a narrative about an adventurous journey through the African wilderness on a safari expedition.
What can quantum mechanics do for telecommunications?,Discuss the potential applications and implications of quantum mechanics in telecommunications.,Rewritten prompt: How does quantum mechanics contribute to advancements in telecommunications?
Write a detective story in a future city.,Write an intriguing detective story set in an underbelly of a cyberpunk city.,Craft a captivating detective tale set in an advanced metropolis of the future.
What causes earthquakes and what do they do?,Explain the causes and effects of earthquakes to a fourth-grade student.,Refined Prompt: Explain the underlying mechanisms that lead to earthquakes and the impacts they have on the environment and human life.
"Write about class in ""Great Expectations"".","Write a critical analysis of social classes and their influence in Charles Dickens's ""Great Expectations.""","Discuss the significance and representation of social class in Charles Dickens' ""Great Expectations""."
What did the Reformation do to Europe?,Discuss the implications of the Reformation on the political landscape of 16th-century Europe.,How did the Reformation impact Europe? Elaborate on its effects.
Write a story about finding a secret message in an old book.,Write a suspenseful short story about a cryptic message found in a centuries-old manuscript.,Task: Craft a narrative involving the discovery of a concealed message within an antiquated book.
"What does ""To Kill a Mockingbird"" say about courage?","Analyze the exploration of courage and resilience in Harper Lee's ""To Kill a Mockingbird.""","Rewritten Prompt: How is the theme of courage explored and represented in ""To Kill a Mockingbird""?"
Write a story about old people who still love each other.,Write a poignant story about an elderly couple's enduring love against all odds.,Nurture a narrative involving elderly individuals who share a timeless bond of affection.
What's the history of hip hop?,Discuss the cultural significance and evolution of hip hop music.,Discover the origins and evolution of hip hop culture throughout history.
Write a story about a world where you can buy and sell memories.,Write a dystopian story about a society in which memories can be bought and sold.,Craft a tale set in a realm where memories are a tradable commodity. Explore the implications of this unique marketplace in your narrative.
What's the circulatory system?,Explain the function and importance of the circulatory system to a high school student.,"Revised Prompt: ""Could you provide a concise explanation of the circulatory system and its primary functions in the human body?"""
Argue for saving dying languages.,Write a compelling argument for the preservation of endangered languages.,"Defend the preservation of endangered languages. In your response, discuss the cultural significance, historical value, and intellectual benefits of maintaining linguistic diversity."
Why is Virginia Woolf important to feminist literature?,Discuss the influence of Virginia Woolf on feminist literature.,Why is Virginia Woolf considered a significant figure in feminist literature?
Write a thriller about a town with a secret.,Write a psychological thriller about a small town with a sinister secret.,"Craft a suspenseful tale set in a concealed-truth-harboring town, where danger lurks beneath the surface and every resident is a potential suspect."
"What does ""The Brothers Karamazov"" say about faith and doubt?","Analyze the exploration of faith and doubt in Fyodor Dostoevsky's ""The Brothers Karamazov.""","""How is the theme of faith and doubt explored in 'The Brothers Karamazov'?"""
Write about seeing the Northern Lights in Norway.,Write a detailed account of experiencing the Northern Lights in Norway.,"Experience the Mesmerizing Northern Lights in Norway.

Discuss the awe-inspiring phenomenon of the Northern Lights, also known as Aurora Borealis, in the beautiful landscapes of Norway. Explore the best time to visit, ideal viewing locations, and cultural significance."
What's wrong with cutting down all the trees and how can we fix it?,Discuss the environmental impacts and potential solutions for deforestation.,Modify prompt: What are the negative impacts of deforestation and how can we address this issue?
Write a scary story in a perfect neighborhood.,Write a horror story set in a seemingly perfect suburban neighborhood.,Craft a chilling tale set in a seemingly flawless community where everything appears idyllic.
"What does ""The Alchemist"" say about freedom?","Analyze the exploration of freedom and confinement in Paulo Coelho's ""The Alchemist.""","Refined prompt: ""How does 'The Alchemist' explore and express the concept of freedom?"""
Write about a trip in the Amazon.,Write a vivid account of a thrilling journey through the Amazon rainforest.,"Embark on a vivid narrative about an immersive journey through the heart of the Amazon rainforest, detailing the sights, sounds, and experiences that make this excursion extraordinary."
What will blockchain do to finance?,Discuss the implications of blockchain technology on the financial industry.,How will blockchain technology revolutionize the finance industry?
Write a story about living underwater after the world ends.,Write an exciting science fiction story set in a post-apocalyptic underwater city.,Craft a narrative set in a post-apocalyptic world where humanity has adapted to reside beneath the ocean's surface.
What's evolution?,Explain the theory of evolution to a middle school student.,"How does evolution unfold? Evolution is a fundamental concept in biology that explains the gradual development and diversification of species over time. It is driven by genetic changes, natural selection, and adaptation to varying environments."
"Write about colors in ""The Great Gatsby"".","Write a comprehensive critique of the use of color symbolism in F. Scott Fitzgerald's ""The Great Gatsby.""","Discuss the symbolic significance of colors in ""The Great Gatsby""."
What did the Industrial Revolution do to England?,Discuss the social and economic impacts of the Industrial Revolution in 18th century England.,How did the Industrial Revolution impact England?
Write a story about a lost city in the desert.,Write a suspenseful short story about a legendary lost city in the Sahara Desert.,Craft a narrative set in a forgotten metropolis hidden within the heart of a vast desert.
"What does ""Waiting for Godot"" say about hope and despair?","Analyze the theme of despair and hope in Samuel Beckett's ""Waiting for Godot.""","Examine the theme of hope and despair in ""Waiting for Godot"". How are these concepts portrayed and interrelated in the play?"
Write a story about a girl and her horse.,Write a touching story about a young girl's special bond with her horse.,"Compose a narrative featuring a young girl and her equine companion, highlighting their unique bond and shared adventures."
What's the history of jazz?,Discuss the cultural impact and evolution of the jazz age in the 1920s.,Discover the origins and evolution of jazz music throughout history.
Write a story about a world where the government controls feelings.,Write a dystopian story about a society where emotions are regulated by the government.,Compose a narrative set in a society where the governing body regulates emotions. This world has implemented a system that dictates the emotional experiences of its citizens. Explore the implications of such a controlled reality.
What's photosynthesis?,Explain the concept of photosynthesis to a fifth-grade student.,Rewritten Prompt: Can you explain the process and significance of photosynthesis?
Argue for going to space.,Write a persuasive argument for the need for space exploration.,Justify the necessity and benefits of space exploration.
Why is Edgar Allan Poe important to Gothic literature?,Discuss the influence of Edgar Allan Poe on the Gothic literary tradition.,How has Edgar Allan Poe significantly contributed to the genre of Gothic literature?
Write a crime story in Tokyo.,Write a crime thriller set in the neon-lit streets of Tokyo.,Craft a suspenseful tale of criminal intrigue set in the vibrant cityscape of Tokyo.
"What does ""Brave New World"" say about right and wrong?","Analyze the exploration of morality and ethics in Aldous Huxley's ""Brave New World.""","How does the novel ""Brave New World"" explore and challenge conventional notions of morality and ethics?"
Write about a night in the woods.,Write a vivid account of a magical moonlit night in a dense forest.,Narrate an enchanting evening spent immersed in a forest setting.
What's wrong with using so much energy and how can we fix it?,Discuss the potential impacts and solutions for the increasing global energy consumption.,Modify prompt: What are the issues associated with excessive energy consumption and what solutions can be implemented to address this problem?
Write a spooky story in a lighthouse.,Write a supernatural story set in a remote lighthouse on a stormy coast.,Craft a chilling tale set within the eerie confines of a solitary lighthouse.
"What does ""Heart of Darkness"" say about colonialism?","Analyze the portrayal of colonialism and culture clash in Joseph Conrad's ""Heart of Darkness.""","How does the narrative in ""Heart of Darkness"" reflect or critique colonialism and its impacts?"
Write about a hike in the morning.,Write a detailed account of a serene sunrise hike on a mountain trail.,"Embark on a reflective narrative about an early morning hike, detailing the sights, sounds, and sensations encountered along the journey."
What can VR do for education?,Discuss the potential applications and implications of virtual reality in education.,How can Virtual Reality enhance learning and education?
Write a story about a witch in a pumpkin.,Write a whimsical fairy tale about a quirky witch living in a pumpkin.,Craft a tale about a sorceress residing within a gigantic pumpkin.
What's an ecosystem?,Explain the concept of ecosystems to a fourth-grade student.,"Rewritten Prompt: Could you please explain the concept of an ecosystem, focusing on its components and how they interact with each other?"
"Write about ""1984"".","Write a critical essay on the depiction of dystopia in George Orwell's ""1984.""","Explore and analyze the themes, characters, and significance of George Orwell's dystopian novel, ""1984""."
What did the Columbian Exchange do to the world?,Discuss the impact of the Columbian Exchange on the New and Old Worlds.,Revised Prompt: Explain the global impact of the Columbian Exchange.
Write a story about a secret group in old Italy.,Write a suspenseful short story about a secret society in Renaissance Italy.,"Craft a narrative set in historic Italy, revolving around a clandestine society concealed from public knowledge."
"What does ""Tess of the D'Urbervilles"" say about fate?","Analyze the theme of fate and free will in Thomas Hardy's ""Tess of the D'Urbervilles.""","How does the theme of fate unfold in ""Tess of the D'Urbervilles""? Elaborate on the role and implications of fate in the novel."
Write a story about siblings finding each other.,Write a heartfelt story about the reunion of long-lost siblings.,"Revise the prompt to: ""Craft a narrative detailing the reunion of estranged siblings."""
What's the history of pop art?,Discuss the evolution and influence of pop art in the 20th century.,"""Could you provide an overview of the origins and evolution of pop art throughout history?"""
Write a story about a big city where people are kind of like machines.,Write a cyberpunk story set in a mega-city where the line between human and machine is blurred.,"Compose a tale set in a bustling metropolis where inhabitants exhibit a mechanical, regimented nature."
What's gravity?,Explain the concept of gravitational force to a high school student.,"Prompt to improve: Briefly explain the concept of gravity, focusing on its definition and general properties."
Argue for farming the green way.,Write a compelling argument for the implementation of sustainable farming practices.,Present a compelling case for adopting sustainable farming practices.
Why is Shakespeare important?,Discuss the contributions of William Shakespeare to English literature and drama.,Why is Shakespeare regarded as a significant figure in literature and culture?
Write a story about a painting going missing.,Write a mystery story about the enigmatic disappearance of a famous painting.,Compose a narrative involving the mysterious disappearance of a famous artwork. This story should focus on the events surrounding the painting's vanishing and its impact on the characters involved.
"What does ""Fahrenheit 451"" say about being yourself?","Analyze the exploration of individuality and conformity in Ray Bradbury's ""Fahrenheit 451.""","Refined prompt: Explain the theme in ""Fahrenheit 451"" that encourages individuality and being true to oneself. How does the novel portray the importance of personal identity and self-expression?"
Write about a festival in a village.,Write a detailed account of a cultural festival experienced in a remote Himalayan village.,Compose a descriptive narrative about a lively and vibrant traditional festival celebrated in a rural setting.
What will gene editing do to medicine?,Discuss the implications of gene editing and CRISPR technology on future medicine.,"""How is gene editing revolutionizing the field of medicine?""

This revised prompt maintains the original focus on gene editing and medicine, but frames it as an ongoing transformation rather than a future prediction. It also avoids the assumption that the response will be a list of specific actions, allowing for a broader discussion of the topic."
Write a story about animals going to the moon.,Write a charming children's story about a group of animals trying to reach the moon.,Craft a narrative featuring creatures embarking on a lunar expedition.
What's photosynthesis?,Explain the process of photosynthesis to a third-grade student.,Rewritten prompt: Could you please explain the process of photosynthesis?
"Write about power in ""Animal Farm"".","Write a critique on the representation of power and corruption in ""Animal Farm"" by George Orwell.","Analyze and discuss the theme of power and its dynamics in George Orwell's ""Animal Farm"". Explore how power is gained, maintained, and abused by characters, and how it impacts the animal society."
What did the Romans do to Europe?,Discuss the social and cultural impacts of the Roman Empire on Europe.,How did Roman influence impact Europe? (Alternatively: In what ways did Rome shape Europe?)
Write a story about finding an old city in the ice.,Write a thrilling adventure story about the discovery of an ancient civilization in the Arctic.,Revise the prompt: Compose a narrative detailing the discovery and exploration of a forgotten city encased in ice.
"What does ""Things Fall Apart"" say about family?","Analyze the exploration of family and duty in Chinua Achebe's ""Things Fall Apart.""","How does the novel ""Things Fall Apart"" portray and explore the concept of family?"
Write a story about a loyal dog.,Write a moving story about a dog's unwavering loyalty to its owner.,"Compose a narrative featuring a faithful canine companion, highlighting its unwavering devotion and commitment."
What's the history of rock and roll?,Discuss the birth and evolution of rock and roll in the music history.,Discover the origins and evolution of rock and roll throughout history.
Write a story about a world where no one sleeps.,Write a dystopian story about a society where people no longer sleep.,Compose a narrative set in a universe where slumber does not exist for any being.
What's human development?,Explain the stages of human development to a middle school student.,"""Explain human development, including its key dimensions and stages.""

This revised prompt encourages a more comprehensive and detailed response, while still remaining concise and focused on the topic of human development. It also removes the need for examples, as per your request."
Argue for saving different kinds of life.,Write a persuasive essay arguing for the importance of biodiversity conservation.,Justify the importance of preserving biodiversity. Elaborate on the significance of maintaining various forms of life.
Why is Jane Austen important to romance books?,Discuss the influence of Jane Austen on the romance novel genre.,Why is Jane Austen's influence significant in the realm of romantic literature?
Write a spy story in the Cold War.,Write a spy thriller set in the midst of the Cold War.,"""Craft a suspenseful tale set during the heightened tensions of the Cold War, focusing on the clandestine operations of a skilled spy."""
"What does ""A Streetcar Named Desire"" say about illusion and reality?","Analyze the exploration of illusion and reality in Tennessee Williams' ""A Streetcar Named Desire.""","How does ""A Streetcar Named Desire"" explore the theme of illusion versus reality? Expand on the contrasting portrayal of these concepts within the narrative."
Write about a trip to another planet.,Write a vivid account of a breathtaking space journey to a distant exoplanet.,Compose a narrative about an interplanetary voyage to a distant world.
What will AI do to jobs?,Discuss the implications of artificial intelligence on the future of work.,How will AI impact employment and job markets?
Write a story about a world where music is magic.,Write an engaging fantasy story set in a world where music holds magical powers.,"Craft a tale set in a realm where melodies possess mystical properties, transforming the ordinary into the extraordinary."
What's the water cycle?,Explain the water cycle to a primary school student.,Rewritten Prompt: Could you explain the process and stages of the water cycle?
"Write about irony in ""Gulliver's Travels"".","Write a comprehensive critique of the use of irony in Jonathan Swift's ""Gulliver's Travels.""","""Discuss the incorporation of irony in the narrative of 'Gulliver's Travels'"". This revised prompt encourages a discussion on the use of irony in the text without providing any examples or significantly increasing the length of the original prompt."
What did the Crusades do to Europe?,Discuss the political and religious impact of the Crusades on Medieval Europe.,"How did the Crusades impact Europe and its development?

*Note: Please provide a response that does not contain specific examples, and keep the length of the response concise."
Write a story about a heist at the Louvre.,Write a suspenseful short story about a daring heist in the Louvre Museum.,Craft a captivating narrative about a daring art heist that takes place at the renowned Louvre Museum.
